id,unit,theme_en,theme_zh,landmark,profile,shoreline,palette
001,Joyful Start,Rainbow,彩虹拱门岛,Rainbow Welcome Gate,arched twin peaks,crescent bay with three gold stones,sky blue-coral-gold
002,Joyful Start,Lollipop,棒棒糖岛,Spiral Lollipop Tower,round candy mountain,spiral beach with candy rocks,grass-candy red-cream
003,Joyful Start,Ferris Wheel,摩天轮岛,Giant Ferris Wheel,central wheel mountain,left crescent beach and right gray rocks,teal-warm yellow-coral
004,Joyful Start,Cake,蛋糕宫殿岛,Birthday Cake Palace,tiered cake mountain,fan beach with sprinkle shoals,strawberry-vanilla-cream
005,Joyful Start,Carousel,旋转木马岛,Crown Carousel,ring platform mountain,horseshoe bay with twin round reefs,royal blue-pink-gold
006,Joyful Start,Blocks,积木城堡岛,Block Castle,stepped cube mountain,stair beach with square reefs,cyan-orange-apple green
007,Joyful Start,Kite,风筝瞭望岛,Smiling Kite Wind Tower,sharp kite-tail mountain,long tail sandbar with triangle reef,sky blue-yellow-berry
008,Joyful Start,Balloon,气球气象岛,Hot Air Balloon Station,balloon observatory mountain,cloud coast with high-low reefs,mint-orange-lake blue
009,Joyful Start,Bubble,泡泡树屋岛,Bubble Treehouse,rooted tree mountain,bubble lagoon with pearl reef chain,aqua-lavender-leaf green
010,Joyful Start,Book,巨书图书岛,Open Storybook Library,open-page mountain,double-page bay with bookmark reef,lake blue-orange-cream
011,Animal Friends,Panda,熊猫竹屋岛,Panda Bamboo House,panda-ear twin peaks,paw bay with five toe stones,bamboo-black-white
012,Animal Friends,Elephant,大象喷泉岛,Elephant Trunk Fountain,elephant-body round mountain,trunk sandbar with oval reef,lake blue-pink-grass
013,Animal Friends,Giraffe,长颈鹿钟楼岛,Giraffe Clock Tower,long-neck ridge mountain,leaf coast with spotted reefs,gold-caramel-green
014,Animal Friends,Whale,鲸鱼音乐岛,Whale Music Hall,whale-back arch mountain,whale-tail double bay with spray reef,ocean blue-sky-silver
015,Animal Friends,Penguin,企鹅滑梯岛,Penguin Ice Slide,penguin-belly mountain,ice coast with three floes,black-white-ice blue
016,Animal Friends,Turtle,海龟圆顶岛,Turtle Dome Classroom,turtle-shell hill,four-flipper beaches with pebble front,emerald-turquoise-sand
