map_world,level_id,item_text,chinese_meaning,topic,item_type,spoken_focus,source_video_name,status,source_field,confidence,final_prompt_chars,source_file
desert,1,Hello,,,expression,,level-001-hello,video-ready,finalPrompt: target English expression,0.98,5261,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,2,Hi,,,expression,,level-002-hi,video-ready,finalPrompt: target English expression,0.98,5190,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,3,Good morning,,,expression,,level-003-good-morning,video-ready,finalPrompt: target English expression,0.98,7347,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,4,Goodbye,,,expression,,level-004-goodbye,video-ready,finalPrompt: target English expression,0.98,7106,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,5,Nice to meet you,,,expression,,level-005-nice-to-meet-you,video-ready,finalPrompt: target English expression,0.98,7561,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,6,My name is...,,,expression label,My name is Tom.,level-006-my-name-is,video-ready,finalPrompt: Quiz answer label,0.96,8280,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,7,What's your name?,,,expression label,What's your name?,level-007-what-s-your-name,video-ready,finalPrompt: Quiz answer label,0.96,8249,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,8,I'm Chen Jie,,,expression label,I'm Chen Jie.,level-008-i-m-chen-jie,video-ready,finalPrompt: Quiz answer label,0.96,8261,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,9,Let's play together,,,expression label,Let's play together!,level-009-let-s-play-together,video-ready,finalPrompt: Quiz answer label,0.96,8425,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,10,Share with friends,,,expression label,"Here, you can have this.",level-010-share-with-friends,video-ready,finalPrompt: Quiz answer label,0.96,8467,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,11,Are you OK?,,,expression label,Are you OK?,level-011-are-you-ok,video-ready,finalPrompt: Quiz answer label,0.96,8292,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,12,I can help,,,expression label,I can help!,level-012-i-can-help,video-ready,finalPrompt: Quiz answer label,0.96,8403,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,13,friend mind map,朋友思维导图,,expression label,Look! She is my friend.,level-013-friend-mind-map,video-ready,finalPrompt: Quiz answer label + Chinese learning goal,0.96,6827,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,14,kind words,友好的话,,expression label,Here you go.,level-014-kind-words,ready,finalPrompt: Quiz answer label + Chinese learning goal,0.96,7175,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,15,help a friend,,,expression label,Let me help you!,level-015-help-a-friend,needs-redraw,finalPrompt: Quiz answer label,0.96,8238,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,16,say hello first,,,expression label,Hello! I'm Tom.,level-016-say-hello-first,needs-redraw,finalPrompt: Quiz answer label,0.96,8419,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,17,be a good friend,,,expression label,You are my friend.,level-017-be-a-good-friend,needs-redraw,finalPrompt: Quiz answer label,0.96,8482,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,18,This is my mum,,,expression label,This is my mum.,level-018-this-is-my-mum,video-ready,finalPrompt: Quiz answer label,0.96,8431,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,19,This is my dad,,,expression label,This is my dad.,level-019-this-is-my-dad,needs-redraw,finalPrompt: Quiz answer label,0.96,8422,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,20,This is my grandma,,,expression label,This is my grandma.,level-020-this-is-my-grandma,needs-redraw,finalPrompt: Quiz answer label,0.96,8525,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,21,This is my grandpa,,,expression label,This is my grandpa.,level-021-this-is-my-grandpa,ready,finalPrompt: Quiz answer label,0.96,8436,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,22,Who lives with you?,,,expression label,Who lives with you?,level-022-who-lives-with-you,ready,finalPrompt: Quiz answer label,0.96,8499,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,23,My family is big,,,expression label,My family is big.,level-023-my-family-is-big,ready,finalPrompt: Quiz answer label,0.96,8449,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,24,My family is small,,,expression label,My family is small.,level-024-my-family-is-small,ready,finalPrompt: Quiz answer label,0.96,8296,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,25,I live with my parents,,,expression label,I live with my parents.,level-025-i-live-with-my-parents,ready,finalPrompt: Quiz answer label,0.96,8478,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,26,I have a sister,,,expression label,I have a sister.,level-026-i-have-a-sister,ready,finalPrompt: Quiz answer label,0.96,8200,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,27,I have a brother,,,expression label,I have a brother.,level-027-i-have-a-brother,ready,finalPrompt: Quiz answer label,0.96,8199,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,28,This is my family,,,expression label,This is my family.,level-028-this-is-my-family,ready,finalPrompt: Quiz answer label,0.96,8260,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,29,We love each other,,,expression label,We love each other.,level-029-we-love-each-other,ready,finalPrompt: Quiz answer label,0.96,8476,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,30,family tree,,,expression label,This is my mum and dad.,level-030-family-tree,ready,finalPrompt: Quiz answer label,0.96,9020,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
