level_id,island_word,island_chinese,island_topic,island_video,island_status,desert_phrase,desert_chinese,desert_spoken_focus,desert_type,desert_video,desert_status
1,Mom,妈妈,Free Starter · 免费体验,level-001-mom,video-ready,Hello,,,expression,level-001-hello,video-ready
2,Dad,爸爸,Free Starter · 免费体验,level-002-dad,video-ready,Hi,,,expression,level-002-hi,video-ready
3,Grandma,奶奶,Free Starter · 免费体验,level-003-grandma,video-ready,Good morning,,,expression,level-003-good-morning,video-ready
4,Grandpa,爷爷,Free Starter · 免费体验,level-004-grandpa,video-ready,Goodbye,,,expression,level-004-goodbye,video-ready
5,Hand,手,Free Starter · 免费体验,level-005-hand,video-ready,Nice to meet you,,,expression,level-005-nice-to-meet-you,video-ready
6,Rice,饭,Free Starter · 免费体验,level-006-rice,video-ready,My name is...,,My name is Tom.,expression label,level-006-my-name-is,video-ready
7,Water,水,Free Starter · 免费体验,level-007-water,video-ready,What's your name?,,What's your name?,expression label,level-007-what-s-your-name,video-ready
8,Car,车,Free Starter · 免费体验,level-008-car,video-ready,I'm Chen Jie,,I'm Chen Jie.,expression label,level-008-i-m-chen-jie,video-ready
9,Dog,狗,Free Starter · 免费体验,level-009-dog,video-ready,Let's play together,,Let's play together!,expression label,level-009-let-s-play-together,video-ready
10,Book,书,Free Starter · 免费体验,level-010-book,video-ready,Share with friends,,"Here, you can have this.",expression label,level-010-share-with-friends,video-ready
11,Apple,苹果,水果先遣队,level-011-apple,video-ready,Are you OK?,,Are you OK?,expression label,level-011-are-you-ok,video-ready
12,Banana,香蕉,水果先遣队,level-012-banana,video-ready,I can help,,I can help!,expression label,level-012-i-can-help,video-ready
13,Orange,橙子,水果先遣队,level-013-orange,video-ready,friend mind map,朋友思维导图,Look! She is my friend.,expression label,level-013-friend-mind-map,video-ready
14,Watermelon,西瓜,水果先遣队,level-014-watermelon,video-ready,kind words,友好的话,Here you go.,expression label,level-014-kind-words,ready
15,Strawberry,草莓,水果先遣队,level-015-strawberry,video-ready,help a friend,,Let me help you!,expression label,level-015-help-a-friend,needs-redraw
16,Grape,葡萄,水果先遣队,level-016-grape,video-ready,say hello first,,Hello! I'm Tom.,expression label,level-016-say-hello-first,needs-redraw
17,Pear,梨,水果先遣队,level-017-pear,video-ready,be a good friend,,You are my friend.,expression label,level-017-be-a-good-friend,needs-redraw
18,Peach,桃子,水果先遣队,level-018-peach,video-ready,This is my mum,,This is my mum.,expression label,level-018-this-is-my-mum,video-ready
19,Mango,芒果,水果先遣队,level-019-mango,video-ready,This is my dad,,This is my dad.,expression label,level-019-this-is-my-dad,needs-redraw
20,Cherry,樱桃,水果先遣队,level-020-cherry,video-ready,This is my grandma,,This is my grandma.,expression label,level-020-this-is-my-grandma,needs-redraw
21,Lollipop,棒棒糖,零食甜点,level-021-lollipop,video-ready,This is my grandpa,,This is my grandpa.,expression label,level-021-this-is-my-grandpa,ready
22,Jelly,果冻,零食甜点,level-022-jelly,video-ready,Who lives with you?,,Who lives with you?,expression label,level-022-who-lives-with-you,ready
23,Candy,糖果,零食甜点,level-023-candy,video-ready,My family is big,,My family is big.,expression label,level-023-my-family-is-big,ready
24,Cookie,饼干,零食甜点,level-024-cookie,video-ready,My family is small,,My family is small.,expression label,level-024-my-family-is-small,ready
25,Chocolate,巧克力,零食甜点,level-025-chocolate,video-ready,I live with my parents,,I live with my parents.,expression label,level-025-i-live-with-my-parents,ready
26,Ice Cream,冰激凌,零食甜点,level-026-ice-cream,video-ready,I have a sister,,I have a sister.,expression label,level-026-i-have-a-sister,ready
27,Cake,蛋糕,零食甜点,level-027-cake,video-ready,I have a brother,,I have a brother.,expression label,level-027-i-have-a-brother,ready
28,Donut,甜甜圈,零食甜点,level-028-donut,video-ready,This is my family,,This is my family.,expression label,level-028-this-is-my-family,ready
29,Popcorn,爆米花,零食甜点,level-029-popcorn,video-ready,We love each other,,We love each other.,expression label,level-029-we-love-each-other,ready
30,Honey,蜂蜜,零食甜点,level-030-honey,video-ready,family tree,,This is my mum and dad.,expression label,level-030-family-tree,ready
31,Egg,鸡蛋,吃饭喝喝,level-031-egg,video-ready,add a family photo,,Let me add her.,expression label,level-031-add-a-family-photo,ready
32,Bun,包子,吃饭喝喝,level-032-bun,video-ready,draw my family,,I'm drawing my family.,expression label,level-032-draw-my-family,ready
33,Bread,面包,吃饭喝喝,level-033-bread,video-ready,talk about family,,This is my family.,expression label,level-033-talk-about-family,ready
34,Milk,牛奶,吃饭喝喝,level-034-milk,video-ready,different families,,My family is big!,expression label,level-034-different-families,ready
35,Juice,果汁,吃饭喝喝,level-035-juice,video-ready,a pet dog,,Look! A pet dog!,expression label,level-035-a-pet-dog,ready
