level,topic,english,chinese,verdict,plannedStatus,redrawMarked,hasVideoPath,visualProof,listenerProof,checks,promptPath
1,日常问候,Good morning!,早上好,PASS,needs-redraw,yes,yes,"The girl smiles, waves at the boy, and says ""Good morning!"" while the low sun is visible behind them.","The boy wakes up into a smile, waves back, and answers ""Good morning!""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-001-good-morning.txt
2,日常问候,How are you?,你好吗,PASS,needs-redraw,yes,yes,"The girl keeps bright eye contact and asks ""How are you?"" with an upbeat, caring face.","The boy relaxes his shoulders, smiles, and answers ""I am good!""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-002-how-are-you.txt
3,日常问候,See you later!,待会儿见,PASS,needs-redraw,yes,yes,"The boy waves, turns his body toward the path, and says ""See you later!"" before he starts walking away.","The girl waves back and says ""See you!"" as the distance between them slowly grows.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-003-see-you-later.txt
4,日常问候,Good night!,晚安,PASS,ready,no,no,"The boy smiles softly, waves from the tent door, and says ""Good night!"" clearly.","The girl answers ""Good night!"" while dimming the lantern.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-004-good-night.txt
5,日常问候,Have fun!,玩得开心,PASS,ready,no,no,"The girl gives a thumbs-up and says ""Have fun!"" as the boy starts running with the kite.","The boy laughs and answers ""I will!"" while the kite lifts gently.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-005-have-fun.txt
6,日常问候,Goodbye!,再见,PASS,ready,no,no,"The girl waves with her whole hand and says ""Goodbye!"" as the boy begins to leave.","The boy waves back and answers ""Goodbye!"" while walking away.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-006-goodbye.txt
7,日常问候,Thank you!,谢谢你,PASS,ready,no,no,"The boy holds the bottle with both hands, looks at the girl, and says ""Thank you!""","The girl nods and smiles, accepting the thanks.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-007-thank-you.txt
8,日常问候,You're welcome!,不用谢,PASS,ready,no,no,"The boy says ""Thank you!"" and the girl answers ""You're welcome!"" with a small nod.",The boy wipes his hand and smiles at her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-008-you-re-welcome.txt
9,日常问候,Excuse me.,打扰一下,PASS,ready,no,no,"The boy raises one hand politely and says ""Excuse me.""","The girl steps aside and smiles, making space.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-009-excuse-me.txt
10,日常问候,I'm sorry.,对不起,PASS,ready,no,no,"She looks concerned, touches her chest, and says ""I'm sorry.""",The boy smiles gently and helps wipe the mat.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-010-i-m-sorry.txt
