level,topic,oldEnglish,newEnglish,chinese,pepBridge,audioKey,ttsText,speaker,audioStatus,audioUrl
1,日常问候,Good morning,Good morning!,早上好,PEP三上 U1 Making friends,good morning,Good morning!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/good_morning.mp3
2,日常问候,How are you,How are you?,你好吗,PEP三上 U1 Making friends,how are you,How are you?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/how_are_you.mp3
3,日常问候,See you later,See you later!,待会儿见,PEP三上 U1 Making friends,see you later,See you later!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/see_you_later.mp3
4,日常问候,Good night,Good night!,晚安,PEP三上 U1 Making friends,good night,Good night!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/good_night.mp3
5,日常问候,Have fun,Have fun!,玩得开心,PEP三上 U1 Making friends,have fun,Have fun!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/have_fun.mp3
6,日常问候,Goodbye,Goodbye!,再见,PEP三上 U1 Making friends,goodbye,Goodbye!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/goodbye.mp3
7,日常问候,Thank you,Thank you!,谢谢你,PEP三上 U1 Making friends,thank you,Thank you!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/thank_you.mp3
8,日常问候,You're welcome,You're welcome!,不用谢,PEP三上 U1 Making friends,you're welcome,You're welcome!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/you_re_welcome.mp3
9,日常问候,Excuse me,Excuse me.,打扰一下,PEP三上 U1 Making friends,excuse me,Excuse me.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/excuse_me.mp3
10,日常问候,I'm sorry,I'm sorry.,对不起,PEP三上 U1 Making friends,i'm sorry,I'm sorry.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_sorry.mp3
11,课堂规则,Listen up,"Listen, please.",请注意听,PEP三上 U1 Making friends,"listen, please","Listen, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/listen__please.mp3
12,课堂规则,Hands up,Raise your hand.,请举手,PEP三上 U1 Making friends,raise your hand,Raise your hand.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/raise_your_hand.mp3
13,课堂规则,Line up,Let's line up.,我们排队吧,PEP三上 U1 Making friends,let's line up,Let's line up.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_line_up.mp3
14,课堂规则,Sit down,"Sit down, please.",请坐下,PEP三上 U1 Making friends,"sit down, please","Sit down, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/sit_down__please.mp3
15,课堂规则,Stand up,"Stand up, please.",请站起来,PEP三上 U1 Making friends,"stand up, please","Stand up, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/stand_up__please.mp3
16,课堂规则,Look here,Look over here.,看这边,PEP三上 U1 Making friends,look over here,Look over here.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/look_over_here.mp3
17,课堂规则,Quiet please,"Quiet, please.",请安静,PEP三上 U1 Making friends,"quiet, please","Quiet, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/quiet__please.mp3
18,课堂规则,Raise your hand,Can you answer?,你能回答吗,PEP三上 U1 Making friends,can you answer,Can you answer?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/can_you_answer.mp3
