level,noun,zh,status,note
001,Mom,妈妈,pass,Passed current prompt-level curriculum check.
002,Dad,爸爸,pass,Passed current prompt-level curriculum check.
003,Grandma,奶奶,pass,Passed current prompt-level curriculum check.
004,Grandpa,爷爷,pass,Passed current prompt-level curriculum check.
005,Hand,手,pass,Passed current prompt-level curriculum check.
006,Rice,饭,pass,Passed current prompt-level curriculum check.
007,Water,水,pass,Passed current prompt-level curriculum check.
008,Car,车,pass,Passed current prompt-level curriculum check.
009,Dog,狗,pass,Passed current prompt-level curriculum check.
010,Book,书,pass,Passed current prompt-level curriculum check.
011,Apple,苹果,pass,Passed current prompt-level curriculum check.
012,Banana,香蕉,pass,Passed current prompt-level curriculum check.
013,Orange,橙子,pass,Passed current prompt-level curriculum check.
014,Watermelon,西瓜,pass,Passed current prompt-level curriculum check.
015,Strawberry,草莓,pass,Passed current prompt-level curriculum check.
016,Grape,葡萄,pass,Passed current prompt-level curriculum check.
017,Pear,梨,pass,Passed current prompt-level curriculum check.
018,Peach,桃子,pass,Passed current prompt-level curriculum check.
019,Mango,芒果,pass,Passed current prompt-level curriculum check.
020,Cherry,樱桃,pass,Passed current prompt-level curriculum check.
021,Muffin,小松饼,pass,Passed current prompt-level curriculum check.
022,Pudding,布丁,pass,Passed current prompt-level curriculum check.
023,Candy,糖果,pass,Passed current prompt-level curriculum check.
024,Cookie,饼干,pass,Passed current prompt-level curriculum check.
025,Chocolate,巧克力,pass,Passed current prompt-level curriculum check.
026,Ice Cream,冰激凌,pass,Passed current prompt-level curriculum check.
027,Cake,蛋糕,pass,Passed current prompt-level curriculum check.
028,Donut,甜甜圈,pass,Passed current prompt-level curriculum check.
029,Pancake,煎饼,pass,Passed current prompt-level curriculum check.
030,Honey,蜂蜜,pass,Passed current prompt-level curriculum check.
031,Egg,鸡蛋,pass,Passed current prompt-level curriculum check.
032,Steamed Bun,包子,pass,Passed current prompt-level curriculum check.
033,Bread,面包,pass,Passed current prompt-level curriculum check.
034,Milk,牛奶,pass,Passed current prompt-level curriculum check.
035,Juice,果汁,pass,Passed current prompt-level curriculum check.
036,Yogurt,酸奶,pass,Passed current prompt-level curriculum check.
037,Cheese,奶酪,pass,Passed current prompt-level curriculum check.
038,Soup,汤,pass,Passed current prompt-level curriculum check.
039,Noodles,面条,pass,Passed current prompt-level curriculum check.
040,Dumpling,饺子,pass,Passed current prompt-level curriculum check.
041,Tomato,西红柿,pass,Passed current prompt-level curriculum check.
042,Potato,土豆,pass,Passed current prompt-level curriculum check.
043,Pizza,披萨,pass,Passed current prompt-level curriculum check.
044,Burger,汉堡,pass,Passed current prompt-level curriculum check.
045,Salad,沙拉,pass,Passed current prompt-level curriculum check.
046,Carrot,胡萝卜,pass,Passed current prompt-level curriculum check.
047,Corn,玉米,pass,Passed current prompt-level curriculum check.
048,Pumpkin,南瓜,pass,Passed current prompt-level curriculum check.
049,Mushroom,蘑菇,pass,Passed current prompt-level curriculum check.
050,Sandwich,三明治,pass,Passed current prompt-level curriculum check.
051,Puppy,小狗,pass,Passed current prompt-level curriculum check.
052,Kitty,小猫,pass,Passed current prompt-level curriculum check.
053,Bunny,小兔,pass,Passed current prompt-level curriculum check.
054,Duck,鸭子,pass,Passed current prompt-level curriculum check.
055,Chick,小鸡,pass,Passed current prompt-level curriculum check.
056,Pig,猪,pass,Passed current prompt-level curriculum check.
057,Cow,奶牛,pass,Passed current prompt-level curriculum check.
058,Cat,猫,pass,Passed current prompt-level curriculum check.
059,Sheep,绵羊,pass,Passed current prompt-level curriculum check.
060,Horse,马,pass,Passed current prompt-level curriculum check.
061,Panda,熊猫,pass,Passed current prompt-level curriculum check.
062,Koala,考拉,pass,Passed current prompt-level curriculum check.
063,Hippo,河马,pass,Passed current prompt-level curriculum check.
064,Monkey,猴子,pass,Passed current prompt-level curriculum check.
065,Tiger,老虎,pass,Passed current prompt-level curriculum check.
066,Lion,狮子,pass,Passed current prompt-level curriculum check.
067,Zebra,斑马,pass,Passed current prompt-level curriculum check.
068,Giraffe,长颈鹿,pass,Passed current prompt-level curriculum check.
069,Elephant,大象,pass,Passed current prompt-level curriculum check.
070,Kangaroo,袋鼠,pass,Passed current prompt-level curriculum check.
071,Butterfly,蝴蝶,pass,Passed current prompt-level curriculum check.
072,Fish,鱼,pass,Passed current prompt-level curriculum check.
073,Frog,青蛙,pass,Passed current prompt-level curriculum check.
074,Bee,蜜蜂,pass,Passed current prompt-level curriculum check.
075,Bird,小鸟,pass,Passed current prompt-level curriculum check.
076,Turtle,乌龟,pass,Passed current prompt-level curriculum check.
077,Crab,螃蟹,pass,Passed current prompt-level curriculum check.
078,Ant,蚂蚁,pass,Passed current prompt-level curriculum check.
079,Snail,蜗牛,pass,Passed current prompt-level curriculum check.
080,Ladybug,瓢虫,pass,Passed current prompt-level curriculum check.
081,Tummy,小肚子,pass,Passed current prompt-level curriculum check.
082,Eye,眼睛,pass,Passed current prompt-level curriculum check.
083,Ear,耳朵,pass,Passed current prompt-level curriculum check.
084,Nose,鼻子,pass,Passed current prompt-level curriculum check.
085,Mouth,嘴巴,pass,Passed current prompt-level curriculum check.
086,Head,头,pass,Passed current prompt-level curriculum check.
087,Hair,头发,pass,Passed current prompt-level curriculum check.
088,Foot,脚,pass,Passed current prompt-level curriculum check.
089,Leg,腿,pass,Passed current prompt-level curriculum check.
090,Arm,手臂,pass,Passed current prompt-level curriculum check.
091,Clothes,衣服,bridge-fixed,Pajamas -> Clothes. 用户指出 Pajamas 太难；Clothes 对应沙漠 Change your clothes。
092,Shoes,鞋子,pass,Passed current prompt-level curriculum check.
093,Socks,袜子,pass,Passed current prompt-level curriculum check.
094,Hat,帽子,pass,Passed current prompt-level curriculum check.
095,Dress,裙子,watch,Dress 保留为最简单衣物词之一；成片需避免时装展示。
096,Scarf,围巾,bridge-fixed,Jacket -> Scarf. 去掉 Jacket/Coat 近义负担，同时保持 091-100 的衣物穿戴连续性。
